date_id,date_key,year,quarter,month_number,month_name,week_of_year,day_of_month,day_name,is_weekend,year_month
20170523,2017-05-23,2017,2,5,May,21,23,Tuesday,Weekday,2017-05
20170524,2017-05-24,2017,2,5,May,21,24,Wednesday,Weekday,2017-05
20170525,2017-05-25,2017,2,5,May,21,25,Thursday,Weekday,2017-05
20170526,2017-05-26,2017,2,5,May,21,26,Friday,Weekday,2017-05
20170527,2017-05-27,2017,2,5,May,21,27,Saturday,Weekend,2017-05
20170528,2017-05-28,2017,2,5,May,22,28,Sunday,Weekend,2017-05
20170529,2017-05-29,2017,2,5,May,22,29,Monday,Weekday,2017-05
20170530,2017-05-30,2017,2,5,May,22,30,Tuesday,Weekday,2017-05
20170531,2017-05-31,2017,2,5,May,22,31,Wednesday,Weekday,2017-05
20170601,2017-06-01,2017,2,6,June,22,1,Thursday,Weekday,2017-06
20170602,2017-06-02,2017,2,6,June,22,2,Friday,Weekday,2017-06
20170603,2017-06-03,2017,2,6,June,22,3,Saturday,Weekend,2017-06
20170604,2017-06-04,2017,2,6,June,23,4,Sunday,Weekend,2017-06
20170605,2017-06-05,2017,2,6,June,23,5,Monday,Weekday,2017-06
20170606,2017-06-06,2017,2,6,June,23,6,Tuesday,Weekday,2017-06
20170607,2017-06-07,2017,2,6,June,23,7,Wednesday,Weekday,2017-06
20170608,2017-06-08,2017,2,6,June,23,8,Thursday,Weekday,2017-06
20170609,2017-06-09,2017,2,6,June,23,9,Friday,Weekday,2017-06
20170610,2017-06-10,2017,2,6,June,23,10,Saturday,Weekend,2017-06
20170611,2017-06-11,2017,2,6,June,24,11,Sunday,Weekend,2017-06
20170612,2017-06-12,2017,2,6,June,24,12,Monday,Weekday,2017-06
20170613,2017-06-13,2017,2,6,June,24,13,Tuesday,Weekday,2017-06
20170614,2017-06-14,2017,2,6,June,24,14,Wednesday,Weekday,2017-06
20170615,2017-06-15,2017,2,6,June,24,15,Thursday,Weekday,2017-06
20170616,2017-06-16,2017,2,6,June,24,16,Friday,Weekday,2017-06
20170617,2017-06-17,2017,2,6,June,24,17,Saturday,Weekend,2017-06
20170618,2017-06-18,2017,2,6,June,25,18,Sunday,Weekend,2017-06
20170619,2017-06-19,2017,2,6,June,25,19,Monday,Weekday,2017-06
20170620,2017-06-20,2017,2,6,June,25,20,Tuesday,Weekday,2017-06
20170621,2017-06-21,2017,2,6,June,25,21,Wednesday,Weekday,2017-06
20170622,2017-06-22,2017,2,6,June,25,22,Thursday,Weekday,2017-06
20170623,2017-06-23,2017,2,6,June,25,23,Friday,Weekday,2017-06
20170624,2017-06-24,2017,2,6,June,25,24,Saturday,Weekend,2017-06
20170625,2017-06-25,2017,2,6,June,26,25,Sunday,Weekend,2017-06
20170626,2017-06-26,2017,2,6,June,26,26,Monday,Weekday,2017-06
20170627,2017-06-27,2017,2,6,June,26,27,Tuesday,Weekday,2017-06
20170628,2017-06-28,2017,2,6,June,26,28,Wednesday,Weekday,2017-06
20170629,2017-06-29,2017,2,6,June,26,29,Thursday,Weekday,2017-06
20170630,2017-06-30,2017,2,6,June,26,30,Friday,Weekday,2017-06
20170701,2017-07-01,2017,3,7,July,26,1,Saturday,Weekend,2017-07
20170702,2017-07-02,2017,3,7,July,27,2,Sunday,Weekend,2017-07
20170703,2017-07-03,2017,3,7,July,27,3,Monday,Weekday,2017-07
20170704,2017-07-04,2017,3,7,July,27,4,Tuesday,Weekday,2017-07
20170705,2017-07-05,2017,3,7,July,27,5,Wednesday,Weekday,2017-07
20170706,2017-07-06,2017,3,7,July,27,6,Thursday,Weekday,2017-07
20170707,2017-07-07,2017,3,7,July,27,7,Friday,Weekday,2017-07
20170708,2017-07-08,2017,3,7,July,27,8,Saturday,Weekend,2017-07
20170709,2017-07-09,2017,3,7,July,28,9,Sunday,Weekend,2017-07
20170710,2017-07-10,2017,3,7,July,28,10,Monday,Weekday,2017-07
20170711,2017-07-11,2017,3,7,July,28,11,Tuesday,Weekday,2017-07
20170712,2017-07-12,2017,3,7,July,28,12,Wednesday,Weekday,2017-07
20170713,2017-07-13,2017,3,7,July,28,13,Thursday,Weekday,2017-07
20170714,2017-07-14,2017,3,7,July,28,14,Friday,Weekday,2017-07
20170715,2017-07-15,2017,3,7,July,28,15,Saturday,Weekend,2017-07
20170716,2017-07-16,2017,3,7,July,29,16,Sunday,Weekend,2017-07
20170717,2017-07-17,2017,3,7,July,29,17,Monday,Weekday,2017-07
20170718,2017-07-18,2017,3,7,July,29,18,Tuesday,Weekday,2017-07
20170719,2017-07-19,2017,3,7,July,29,19,Wednesday,Weekday,2017-07
20170720,2017-07-20,2017,3,7,July,29,20,Thursday,Weekday,2017-07
20170721,2017-07-21,2017,3,7,July,29,21,Friday,Weekday,2017-07
20170722,2017-07-22,2017,3,7,July,29,22,Saturday,Weekend,2017-07
20170723,2017-07-23,2017,3,7,July,30,23,Sunday,Weekend,2017-07
